RecordNumber,mbfc__Register_Entry_Type__c,mbfc__Type__c,mbfc__Notation_Type__c,mbfc__Ordination_Type__c,Date,Place,Prelate,mbfc__Matrimonial_Wife__c
83,Notation,,Notice of Holy Orders,Minor Order: Reader,1993-04-17,,,
83,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1993-04-17,,,
83,Notation,,Notice of Holy Orders,Installation: Candidate,1993-04-17,,,
3076,Notation,,Proof of Baptism,,1978-02-26,"St. Mary Parish, Farmington, NM",,
3076,Notation,,Notice of Matrimony,,2005-03-19,,,3077
3076,Notation,,Notice of Holy Orders,Diaconate,2013-10-26,"St. John Cathedral, Boise, ID",,
3076,Notation,,Notice of Holy Orders,Minor Order: Reader,2011-08-27,,,
3076,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2012-08-25,,,
3076,Notation,,Notice of Holy Orders,Installation: Candidate,2010-08-28,,,
637,Notation,,Notice of Holy Orders,Presbyteral,1963-03-30,"Fribourg Cathedral, Fribourg, Switzerland",Most Rev. François Charrière,
525,Notation,,Proof of Baptism,,1991-11-07,"St Ambrose Church Brunswick, Ohio",,
525,Notation,,Notice of Confirmation,,2006-07-09,,,
525,Notation,,Notice of Holy Orders,Diaconate,2018-05-19,"Cathedral of the Immaculate Conception, Portland, OR",,
525,Notation,,Notice of Holy Orders,Minor Order: Reader,2016-01-10,,,
525,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2017-02-26,,,
525,Notation,,Notice of Holy Orders,Installation: Candidate,2015-05-02,,,
981,Notation,,Notice of Holy Orders,Presbyteral,1943-12-18,,Most Rev. Edward D. Howard,
186,Notation,,Proof of Baptism,,1934-02-11,Bronx NY,,
186,Notation,,Notice of Matrimony,,1990-03-17,,,278
186,Notation,,Notice of Holy Orders,Diaconate,1997-11-29,"Cathedral of the Immaculate Conception, Portland, OR",,
186,Notation,,Notice of Holy Orders,Minor Order: Reader,1996-08-03,,,
186,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1996-08-03,,,
186,Notation,,Notice of Holy Orders,Installation: Candidate,1997-07-12,,,
681,Notation,,Notice of Holy Orders,Diaconate,1997-01-04,"Saint Mary Parish, Corvallis, OR",,
681,Notation,,Notice of Holy Orders,Presbyteral,1998-06-13,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
110,Notation,,Proof of Baptism,,1944-02-27,"St. John the Baptist, Wagner, SD",,
110,Notation,,Notice of Matrimony,,1967-08-19,,,150
110,Notation,,Notice of Holy Orders,Diaconate,2015-10-24,"Cathedral of the Immaculate Conception, Portland, OR",,
110,Notation,,Notice of Holy Orders,Minor Order: Reader,2014-02-23,,,
110,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2014-02-23,,,
110,Notation,,Notice of Holy Orders,Installation: Candidate,2015-03-01,,,
1539,Notation,,Notice of Holy Orders,Presbyteral,2006-06-03,,,
606,Notation,,Notice of Holy Orders,Presbyteral,1984-06-09,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. Cornelius M. Power,
52,Notation,,Proof of Baptism,,1985-06-29,"St. Thomas Parish, Tukwila WA",,
52,Notation,,Notice of Matrimony,,1985-09-07,,,0
181,Notation,,Proof of Baptism,,1947-01-09,"St. Mary’s Church, Evanston IL",,
181,Notation,,Notice of Matrimony,,2001-05-25,,,0
735,Notation,,Notice of Holy Orders,Presbyteral,1973-06-29,Jesuits,,
3401,Notation,,Notice of Matrimony,,2018-12-15,,,0
682,Notation,,Notice of Holy Orders,Presbyteral,1972-08-26,San Diego,Most Rev. Timothy Manning,
1518,Notation,,Notice of Holy Orders,Diaconate,2011-10-01,"San Carlos Cathedral, Monterey, CA",,
1518,Notation,,Notice of Holy Orders,Presbyteral,2012-05-19,"Old Mission Church, San Luis Obispo, CA",Most Rev. Richard Garcia,
510,Notation,,Notice of Holy Orders,Presbyteral,1989-07-15,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. William J. Levada,
2002,Notation,,Proof of Baptism,,1962-07-04,"St. Patrick Church, Walla Walla, WA",,
2002,Notation,,Notice of Holy Orders,Diaconate,1993-05-29,Our Lady of Lourdes Church,,
2002,Notation,,Notice of Holy Orders,Presbyteral,1994-06-18,"St. Joseph Church, Seattle, WA",,
2002,Notation,,Notice of Holy Orders,Minor Order: Reader,1984-12-03,,,
2002,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1986-04-11,,,
3432,Notation,,Proof of Baptism,,1989-12-23,"Our Lady of Perpetual Help, Indio, CA",,
32,Notation,,Proof of Baptism,,2001-04-14,"St. Mary Cathedral, Portland OR",,
32,Notation,,Notice of Matrimony,,2001-04-01,,,0
32,Notation,,Notice of Holy Orders,Minor Order: Reader,2004-03-20,,,
32,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2004-12-18,,,
627,Notation,,Notice of Holy Orders,Presbyteral,1986-11-07,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. William J. Levada,
2729,Notation,,Proof of Baptism,,1991-08-25,"St. Thomas Moore, Portland, OR",,
2729,Notation,,Notice of Confirmation,,2007-05-27,"St. Clare Parish, Portland, OR",,
683,Notation,,Notice of Holy Orders,Presbyteral,1973-06-23,"St. Joseph, Salem",Most Rev. Robert J. Dwyer,
984,Notation,,Notice of Holy Orders,Diaconate,1978-10-15,,,
984,Notation,,Notice of Holy Orders,Presbyteral,1979-05-19,,,
312,Notation,,Notice of Matrimony,,1990-12-29,,,0
3380,Notation,,Proof of Baptism,,2022-04-16,"St. Cecilia Parish, Beaverton, OR",,
3380,Notation,,Notice of Confirmation,,2022-04-16,"St. Cecilia Parish, Beaverton, OR",,
3380,Notation,,Notice of Matrimony,,2020-07-16,,,0
1571,Notation,,Proof of Baptism,,1948-03-26,"Ithaca, New York",,
1571,Notation,,Notice of Confirmation,,1998-12-20,,,
1571,Notation,,Notice of Holy Orders,Diaconate,2000-11-28,"St. John’s Cathedral, Fresno, CA",,
1571,Notation,,Notice of Holy Orders,Presbyteral,2000-12-20,"St. John’s Cathedral, Fresno, CA",Most Rev. John Steinbock,
144,Notation,,Notice of Holy Orders,Diaconate,1979-01-01,,,
361,Notation,,Proof of Baptism,,1968-01-14,"San BuenaventuruTorrialba, Costa Rica",,
361,Notation,,Notice of Matrimony,,2009-09-16,,,0
434,Notation,,Proof of Baptism,,1957-05-12,"United Churcy of Byron, Byron, IL",,
434,Notation,,Notice of Confirmation,,1989-01-01,"St. Thomas the Apostle, Phoenix, AZ",,
434,Notation,,Notice of Profession of Faith,,1989-01-01,"St. Thomas the Apostle, Phoenix, AZ",,
434,Notation,,Notice of Matrimony,,1989-02-18,,,0
172,Notation,,Proof of Baptism,,1968-05-04,"St. Edward, Salem OR",,
172,Notation,,Notice of Matrimony,,1968-05-11,,,0
172,Notation,,Notice of Holy Orders,Minor Order: Reader,1987-04-26,,,
172,Notation,,Notice of Holy Orders,Installation: Candidate,1986-10-12,,,
232,Notation,,Proof of Baptism,,1942-09-13,"St. Peter’s Parish, Dorchester MA",,
232,Notation,,Notice of Matrimony,,1970-09-26,,,295
232,Notation,,Notice of Holy Orders,Diaconate,2006-12-09,"Cathedral of the Immaculate Conception, Portland, OR",,
232,Notation,,Notice of Holy Orders,Minor Order: Reader,2001-09-08,,,
232,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2001-09-08,,,
232,Notation,,Notice of Holy Orders,Installation: Candidate,2005-11-05,,,
3407,Notation,,Notice of Matrimony,,1992-05-30,,,0
3332,Notation,,Proof of Baptism,,1958-06-01,"St. Francis of Assisi Parish, Auburn, NY",,
3332,Notation,,Notice of Matrimony,,1980-08-23,"Our Lady of Perpetual Help, St. Mary’s, Albany, OR",,0
2750,Notation,,Proof of Baptism,,1990-12-29,,,
2750,Notation,,Notice of Confirmation,,2007-04-25,,,
2750,Notation,,Notice of Holy Orders,Diaconate,2021-08-29,,,
2750,Notation,,Notice of Holy Orders,Presbyteral,2022-04-23,,,
2750,Notation,,Notice of Holy Orders,Minor Order: Reader,2017-10-26,,,
2750,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2018-10-14,,,
3410,Notation,,Notice of Matrimony,,2021-09-18,,,0
3477,Notation,,Proof of Baptism,,1998-10-11,"St. Pius X Parish, Westerly, RI",,
3477,Notation,,Notice of Confirmation,,2013-05-08,"Sacred Heart Parish, West Warwick, RI",,
3477,Notation,,Notice of Holy Orders,Minor Order: Reader,2023-01-15,,,
3477,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2024-03-03,,,
997,Notation,,Notice of Holy Orders,Presbyteral,2016-06-11,"St. Aloysius Church, Spokane, WA",Most Rev. Thomas Daly,
1555,Notation,,Notice of Holy Orders,Minor Order: Reader,2021-03-10,,,
310,Notation,,Proof of Baptism,,1960-06-19,"Nativity of the Blessed Virgin Mary, Rainier OR",,
310,Notation,,Notice of Matrimony,,1986-10-11,,,6
310,Notation,,Notice of Holy Orders,Diaconate,2011-10-29,"Cathedral of the Immaculate Conception, Portland, OR",,
310,Notation,,Notice of Holy Orders,Minor Order: Reader,2008-10-25,,,
310,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2009-10-31,,,
310,Notation,,Notice of Holy Orders,Installation: Candidate,2010-11-06,,,
247,Notation,,Proof of Baptism,,1971-11-29,"First United Methodist Church, Anson TX",,
247,Notation,,Notice of Confirmation,,1982-10-10,"St. Francis of Assisi Parish, Bend OR",,
247,Notation,,Notice of Profession of Faith,,1982-10-10,"St. Francis of Assisi Parish, Bend OR",,
247,Notation,,Notice of Matrimony,,1982-10-10,,,0
247,Notation,,Notice of Holy Orders,Diaconate,1993-11-05,"Cathedral of the Immaculate Conception, Portland, OR",,
247,Notation,,Notice of Holy Orders,Minor Order: Reader,1986-11-15,,,
247,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1988-03-19,,,
247,Notation,,Notice of Holy Orders,Installation: Candidate,1993-04-17,,,
526,Notation,,Notice of Holy Orders,Diaconate,2017-05-20,"Cathedral of the Immaculate Conception, Portland, OR",,
526,Notation,,Notice of Holy Orders,Presbyteral,2018-06-02,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
1591,Notation,,Proof of Baptism,,2001-05-05,"Holy Apostles Catholic Church, Boise, ID",,
1591,Notation,,Notice of Confirmation,,2017-04-27,,,
499,Notation,,Proof of Baptism,,1970-09-15,,,
607,Notation,,Notice of Holy Orders,Presbyteral,1967-05-13,"Mt. Michael Abbey, Elkhorn, NE",Most Rev. Daniel E. Sheehan,
262,Notation,,Notice of Matrimony,,1973-06-30,,,522
262,Notation,,Notice of Holy Orders,Diaconate,1989-06-18,"Cathedral of St. Chad, Birmingham, England",,
262,Notation,,Notice of Holy Orders,Minor Order: Reader,1988-05-20,,,
262,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1988-12-16,,,
262,Notation,,Notice of Holy Orders,Installation: Candidate,1988-05-13,,,
864,Notation,,Notice of Holy Orders,Presbyteral,1953-05-30,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. Edward D. Howard,
1541,Notation,,Notice of Matrimony,,1994-01-08,,,0
578,Notation,,Notice of Holy Orders,Presbyteral,1979-06-02,"Fall River, MA",Most Rev. Daniel A. Cronin,
783,Notation,,Notice of Holy Orders,Presbyteral,2011-06-04,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
1598,Notation,,Proof of Baptism,,2017-04-07,"St. Patrick Parish, Portland",,
1598,Notation,,Notice of Confirmation,,2017-04-07,,,
1598,Notation,,Notice of Holy Orders,Minor Order: Reader,2022-02-23,,,
1598,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2023-03-06,,,
1598,Notation,,Notice of Holy Orders,Installation: Candidate,2024-10-23,,,
1003,Notation,,Notice of Holy Orders,Presbyteral,1974-01-01,,,
2865,Notation,,Proof of Baptism,,2003-12-09,"St. Andrew’s Catholic Church, Killaloe, ON, Canada",,
2865,Notation,,Notice of Confirmation,,2017-05-10,"St. James, McMinnville, OR",,
209,Notation,,Proof of Baptism,,1955-12-11,"St. Clare Church, Portland OR",,
209,Notation,,Notice of Matrimony,,1986-08-09,,,0
209,Notation,,Notice of Holy Orders,Minor Order: Reader,2001-09-08,,,
209,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2001-09-08,,,
474,Notation,,Proof of Baptism,,1967-11-12,"Mater Christi Church, North Riverside, IL",,
474,Notation,,Notice of Confirmation,,1981-04-09,,,
474,Notation,,Notice of Matrimony,,1994-04-02,,,0
474,Notation,,Notice of Holy Orders,Minor Order: Reader,2019-03-23,,,
474,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2019-03-23,,,
793,Notation,,Notice of Holy Orders,Presbyteral,2013-06-08,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
759,Notation,,Notice of Holy Orders,Presbyteral,1996-05-08,"Mother of God Church, Majorda, Goa, India",Most Rev. Filip N. Farrao,
820,Notation,,Notice of Holy Orders,Presbyteral,2012-06-09,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
164,Notation,,Proof of Baptism,,1951-04-29,"St. Thomas the Apostle, Chicago IL",,
164,Notation,,Notice of Matrimony,,1977-09-03,,,348
164,Notation,,Notice of Holy Orders,Diaconate,1998-09-05,"St. Mary Church, Hood River OR",,
164,Notation,,Notice of Holy Orders,Minor Order: Reader,1996-08-03,,,
164,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1996-08-03,,,
684,Notation,,Notice of Holy Orders,Presbyteral,1977-03-19,,,
71,Notation,,Proof of Baptism,,1951-06-10,,,
71,Notation,,Notice of Matrimony,,1971-01-31,,,0
142,Notation,,Proof of Baptism,,1958-06-08,"Epiphany Catholic Church, South El Monte CA",,
142,Notation,,Notice of Matrimony,,1983-08-20,,,216
142,Notation,,Notice of Holy Orders,Diaconate,2006-12-09,"Cathedral of the Immaculate Conception, Portland, OR",,
142,Notation,,Notice of Holy Orders,Minor Order: Reader,2002-10-26,,,
142,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2002-10-26,,,
142,Notation,,Notice of Holy Orders,Installation: Candidate,2005-11-05,,,
3403,Notation,,Notice of Matrimony,,2022-03-26,,,0
846,Notation,,Notice of Holy Orders,Presbyteral,1962-12-22,"Oakland, CA",Most Rev. Merlin Guilfoyle,
2977,Notation,,Notice of Holy Orders,Presbyteral,2003-12-12,"Basilica of the Holy House of Loreto, Italy",,
563,Notation,,Notice of Holy Orders,Presbyteral,1953-12-19,Rome,Most Rev. Martin J. O’Connor,
154,Notation,,Proof of Baptism,,1951-09-30,"St. Cecilia/Queen of Peace, Portland OR",,
154,Notation,,Notice of Matrimony,,1979-07-07,,,195
154,Notation,,Notice of Holy Orders,Diaconate,2005-11-05,"Cathedral of the Immaculate Conception, Portland, OR",,
154,Notation,,Notice of Holy Orders,Minor Order: Reader,2001-09-08,,,
154,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2001-09-08,,,
154,Notation,,Notice of Holy Orders,Installation: Candidate,2004-12-18,,,
95,Notation,,Proof of Baptism,,1958-04-13,"St. Mark Catholic Church, Shoreline WA",,
95,Notation,,Notice of Matrimony,,1981-08-01,,,115
95,Notation,,Notice of Holy Orders,Diaconate,2008-10-25,"Cathedral of the Immaculate Conception, Portland, OR",,
95,Notation,,Notice of Holy Orders,Minor Order: Reader,2004-12-18,,,
95,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2005-11-05,,,
95,Notation,,Notice of Holy Orders,Installation: Candidate,2007-11-03,,,
318,Notation,,Proof of Baptism,,1957-04-14,"First United Methodist Church, Santa Barbara, CA",,
318,Notation,,Notice of Confirmation,,1993-04-10,"Our Lady of the Lake Parish, Lake Oswego, OR",,
318,Notation,,Notice of Profession of Faith,,1993-04-10,"Our Lady of the Lake Parish, Lake Oswego, OR",,
318,Notation,,Notice of Matrimony,,1973-05-25,"St. Rose of Lima Parish, Portland, OR",,69
318,Notation,,Notice of Holy Orders,Diaconate,2002-11-23,"Cathedral of the Immaculate Conception, Portland, OR",,
318,Notation,,Notice of Holy Orders,Minor Order: Reader,2001-09-08,,,
318,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2001-09-08,,,
318,Notation,,Notice of Holy Orders,Installation: Candidate,2001-09-08,,,
685,Notation,,Notice of Holy Orders,Presbyteral,1958-05-24,"Portland, OR",Most Rev. Edward D. Howard,
1025,Notation,,Notice of Holy Orders,Presbyteral,1986-06-21,"Seattle, WA",,
1026,Notation,,Notice of Holy Orders,Presbyteral,1998-06-13,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
2770,Notation,,Notice of Holy Orders,Diaconate,2021-05-14,"Cathedral of the Madeleine, Salt Lake City, UT",,
3023,Notation,,Notice of Holy Orders,Diaconate,2023-04-15,"Our Lady of Guadalupe Abbey, Carlton, OR",,
3023,Notation,,Notice of Holy Orders,Presbyteral,2023-10-28,"Our Lady of Guadalupe Abbey, Carlton, OR",Most Rev. John Vlazny,
3023,Notation,,Notice of Holy Orders,Minor Order: Reader,2022-11-01,,,
3023,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2022-12-08,,,
436,Notation,,Proof of Baptism,,1960-01-20,,,
436,Notation,,Notice of Confirmation,,1977-03-06,,,
794,Notation,,Notice of Holy Orders,Diaconate,2008-01-12,"Basilica of the National Shrine of the Immaculate Conception, Washington, DC",,
794,Notation,,Notice of Holy Orders,Presbyteral,2009-05-30,"St. Dominic Church, San Francisco, CA","Most Rev. Thomas C. Kelly, OP",
363,Notation,,Proof of Baptism,,1968-03-17,"Holy Cross Parish, Miramar, New Zealand",,
363,Notation,,Notice of Matrimony,,1993-07-16,,,0
898,Notation,,Notice of Holy Orders,Presbyteral,1996-02-18,"Manila, Philippines",Cardinal Sin,
686,Notation,,Notice of Holy Orders,Presbyteral,1991-04-06,"Notre Dame, IN",Most Rev. Waldschmidt,
795,Notation,,Notice of Holy Orders,Presbyteral,1982-05-14,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. Cornelius M. Power,
319,Notation,,Proof of Baptism,,1954-09-19,"Chapel #6, F. E. Warren AFB WY",,
319,Notation,,Notice of Matrimony,,1976-09-04,,,157
319,Notation,,Notice of Holy Orders,Diaconate,2008-10-25,"Cathedral of the Immaculate Conception, Portland, OR",,
319,Notation,,Notice of Holy Orders,Minor Order: Reader,2004-12-18,,,
319,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2005-11-05,,,
319,Notation,,Notice of Holy Orders,Installation: Candidate,2007-11-03,,,
687,Notation,,Notice of Holy Orders,Presbyteral,1994-04-09,"Notre Dame, IN",Most Rev. J. MacDonald,
688,Notation,,Notice of Holy Orders,Presbyteral,1956-06-17,"All Hallows College, Dublin, Ireland",Most Rev. O’Reilly,
689,Notation,,Notice of Holy Orders,Presbyteral,1981-09-12,"Abbey Church, Mount Angel Abbey, Saint Benedict, OR",Most Rev. Cornelius Power,
3327,Notation,,Notice of Holy Orders,Diaconate,1992-12-08,"Fatima, Portugal",,
3327,Notation,,Notice of Holy Orders,Presbyteral,1993-12-24,Stara Halic,Most Rev. Eduard Kojnik,
649,Notation,,Notice of Holy Orders,Presbyteral,1964-05-01,,,
1530,Notation,,Proof of Baptism,,1957-06-23,"St. Paul’s United Church, Orillia, Ontario, Canada",,
1530,Notation,,Notice of Confirmation,,1975-09-21,"Archdiocese for the Military Services, USA",,
1530,Notation,,Notice of Profession of Faith,,1975-09-21,"Archdiocese for the Military Services, USA",,
1530,Notation,,Notice of Matrimony,,1979-06-30,,,0
93,Notation,,Proof of Baptism,,1947-08-24,"St. Anthony’s Church, Manteca CA",,
93,Notation,,Notice of Matrimony,,1979-11-24,,,0
93,Notation,,Notice of Holy Orders,Diaconate,1995-06-11,"Cathedral of St. Eugene, Santa Rosa CA",,
2753,Notation,,Notice of Holy Orders,Diaconate,2011-05-21,"Cathedral of the Immaculate Conception, Portland, OR",,
2753,Notation,,Notice of Holy Orders,Presbyteral,2012-07-14,,,
2753,Notation,,Notice of Holy Orders,Minor Order: Reader,2009-03-17,,,
2753,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2010-03-23,,,
3018,Notation,,Proof of Baptism,,1999-07-24,"Our Lady of Loretto, Los Angeles, CA",,
3018,Notation,,Notice of Confirmation,,2013-05-20,"St. James Parish, McMinnville, OR",,
609,Notation,,Notice of Holy Orders,Presbyteral,1958-12-20,Rome,Most Rev. Martin J. O’Connor,
527,Notation,,Notice of Holy Orders,Diaconate,2022-09-29,"St. Peter’s Basilica, Vatican",,
527,Notation,,Notice of Holy Orders,Presbyteral,2024-06-22,"St. Mary Cathedral of the Immaculate Conception, Portland, OR",Most Rev. Alexander K. Sample,
1,Notation,,Notice of Matrimony,,1987-05-02,,,0
2799,Notation,,Notice of Holy Orders,Diaconate,2008-01-26,,,
2799,Notation,,Notice of Holy Orders,Presbyteral,2008-08-23,,,
798,Notation,,Notice of Holy Orders,Presbyteral,1987-05-19,"Poznan, Poland",Most Rev. Zdzidlaw Fortuniak,
799,Notation,,Notice of Holy Orders,Presbyteral,1968-05-11,,,
1582,Notation,,Notice of Holy Orders,Presbyteral,2013-11-23,"Sacred Heart Cathedral, Eldoret, Kenya",Most. Rev. Cornelius Kipng’eno Arap Korir,
546,Notation,,Notice of Holy Orders,Diaconate,2022-09-29,"St. Peter’s Basilica, Vatican",,
546,Notation,,Notice of Holy Orders,Presbyteral,2024-06-22,"St. Mary Cathedral of the Immaculate Conception, Portland, OR",Most Rev. Alexander K. Sample,
546,Notation,,Notice of Holy Orders,Minor Order: Reader,2020-01-12,,,
546,Notation,,Notice of Holy Orders,Installation: Candidate,2019-04-06,,,
3322,Notation,,Notice of Matrimony,,2000-05-06,"Newberg Assembly of God, Newberg, OR",,0
202,Notation,,Proof of Baptism,,1967-06-11,"St. John the Baptist, Joliet IL",,
202,Notation,,Notice of Matrimony,,1998-07-11,,,253
202,Notation,,Notice of Holy Orders,Diaconate,2005-11-05,"Cathedral of the Immaculate Conception, Portland, OR",,
202,Notation,,Notice of Holy Orders,Minor Order: Reader,1994-12-05,,,
202,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1995-11-30,,,
202,Notation,,Notice of Holy Orders,Installation: Candidate,2004-12-18,,,
509,Notation,,Notice of Holy Orders,Presbyteral,2012-06-09,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
317,Notation,,Notice of Matrimony,,1982-07-03,,,0
3316,Notation,,Proof of Baptism,,1979-10-18,,,
3316,Notation,,Notice of Holy Orders,Presbyteral,2018-06-22,"St. Dominic, San Francisco, CA","Most Rev. Robert Christian, OP, Archdiocese of San",
24,Notation,,Proof of Baptism,,1952-11-16,"St. Felicitas, San Leandro CA",,
24,Notation,,Notice of Matrimony,,2000-08-25,,,284
24,Notation,,Notice of Holy Orders,Diaconate,2006-12-09,"Cathedral of the Immaculate Conception, Portland, OR",,
24,Notation,,Notice of Holy Orders,Minor Order: Reader,2006-04-28,,,
24,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2006-04-28,,,
24,Notation,,Notice of Holy Orders,Installation: Candidate,2006-04-28,,,
760,Notation,,Notice of Holy Orders,Diaconate,2008-04-19,"Cathedral of the Immaculate Conception, Portland, OR",,
760,Notation,,Notice of Holy Orders,Presbyteral,2009-06-13,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
189,Notation,,Proof of Baptism,,1968-04-15,"Parroquia de Cristo Rey, Delícias, Chihuahua, Mexico",,
189,Notation,,Notice of Matrimony,,1991-01-28,,,67
189,Notation,,Notice of Holy Orders,Diaconate,2004-10-16,"Cathedral of the Immaculate Conception, Portland, OR",,
189,Notation,,Notice of Holy Orders,Minor Order: Reader,1999-10-23,,,
189,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2009-10-23,,,
189,Notation,,Notice of Holy Orders,Installation: Candidate,2002-10-26,,,
171,Notation,,Proof of Baptism,,1955-06-01,"Parroquia de Ntra. Sra. del Carmen, El Negrito, Honduras",,
171,Notation,,Notice of Matrimony,,1997-11-29,,,70
171,Notation,,Notice of Holy Orders,Diaconate,2004-10-16,"Cathedral of the Immaculate Conception, Portland, OR",,
171,Notation,,Notice of Holy Orders,Minor Order: Reader,2004-03-20,,,
171,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2004-03-20,,,
171,Notation,,Notice of Holy Orders,Installation: Candidate,2004-03-20,,,
2983,Notation,,Proof of Baptism,,1976-02-15,"Cristo Rey Estipac, Jalisco, Mexico",,
2983,Notation,,Notice of Matrimony,,2012-02-18,,,0
456,Notation,,Proof of Baptism,,1963-01-20,"St. Mark, Eugene, OR",,
456,Notation,,Notice of Matrimony,,1988-12-27,,,0
800,Notation,,Notice of Holy Orders,Presbyteral,1995-08-26,"Orlu, Nigeria",Most Rev. G. O. Ochiagha,
2775,Notation,,Proof of Baptism,,1964-06-14,"Assumption of the Blessed Virgin Mary Parish, Belmont, MI",,
2775,Notation,,Notice of Confirmation,,1979-03-01,"Assumption of the Blessed Virgin Mary Parish, Belmont, MI",,
2775,Notation,,Notice of Matrimony,,1991-06-01,,,0
586,Notation,,Notice of Holy Orders,Presbyteral,2015-07-11,"Austin, TX",Bishop A. Elias Zaidan,
3387,Notation,,Notice of Holy Orders,Presbyteral,2007-06-01,,,
1586,Notation,,Notice of Holy Orders,Presbyteral,2010-04-10,"Mangalore, India",Aloysius Paul D’souza,
3111,Notation,,Proof of Baptism,,1979-04-07,"San José, Limpio, Paraguay",,
3111,Notation,,Notice of Matrimony,,2002-02-09,"St. Joseph Parish, Limpio, Paraguay",,3112
3394,Notation,,Notice of Matrimony,,2010-09-11,,,0
3352,Notation,,Proof of Baptism,,1981-03-22,"Holy Family Parish, Glendale, CA",,
3352,Notation,,Notice of Matrimony,,2007-04-14,"Our Lady of the Rosary Parish, San Diego, CA",,0
1526,Notation,,Notice of Holy Orders,Presbyteral,1997-05-31,,"Don Luis Reynoso Cervantes, IX",
63,Notation,,Proof of Baptism,,1946-04-26,"Regina Coeli, Pittsburgh PA",,
63,Notation,,Notice of Matrimony,,1969-11-08,,,108
63,Notation,,Notice of Holy Orders,Diaconate,1991-11-09,"Cathedral of Sts. Simon and Jude, Phoenix AZ",,
18,Notation,,Proof of Baptism,,1956-08-19,"St. Clement, St. Louis MO",,
18,Notation,,Notice of Holy Orders,Diaconate,2010-11-06,"Cathedral of the Immaculate Conception, Portland, OR",,
18,Notation,,Notice of Holy Orders,Minor Order: Reader,2005-11-05,,,
18,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2006-12-09,,,
18,Notation,,Notice of Holy Orders,Installation: Candidate,2009-10-31,,,
638,Notation,,Notice of Holy Orders,Presbyteral,1982-01-10,"Prince of Peace Abbey, Oceanside, CA",Most Rev. Leo T. Maher,
2406,Notation,,Notice of Holy Orders,Diaconate,2023-12-16,"Mount Angel Abbey, St. Benedict, OR",,
3399,Notation,,Proof of Baptism,,1970-02-28,,,
3399,Notation,,Notice of Matrimony,,2024-02-08,,,0
3351,Notation,,Notice of Holy Orders,Presbyteral,1994-12-15,,Most Rev. Thomas Savundranayagam,
847,Notation,,Notice of Holy Orders,Presbyteral,1972-08-19,"St. Charles, Portland",Most Rev. Robert J. Dwyer,
848,Notation,,Notice of Holy Orders,Presbyteral,2015-06-05,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
103,Notation,,Proof of Baptism,,1971-12-05,"St. Thomas á Becket, Jefferson Hills PA",,
103,Notation,,Notice of Matrimony,,1994-07-09,,,0
528,Notation,,Notice of Holy Orders,Diaconate,2020-06-13,"Cathedral of the Immaculate Conception, Portland, OR",,
