mbfc__Affiliation__c,adpdx_Archdiocesan_Assignment__c,mbfc__Duty_Load__c,mbfc__Start_Date__c,mbfc__Completion_Date__c,mbfc__Category__c,mbfc__Use_Custom_Title__c,mbfc__Custom_Title__c,mbfc__Context__c,mbfc__Person__c,Archdpdx_Migration_Id__c,Archdpdx_Job_Id__c
Chaplain for Young Catholic Professionals,True,,2022-10-05,,Any All,True,Chaplain for Young Catholic Professionals,001Ps00000l54fyIAA,003Ps00000frkQxIAI,2961,156
"On Leave for Study at PNAC, Rome",True,,2022-09-01,2023-06-30,Any All,True,"On Leave for Study at PNAC, Rome",001Ps00000l54fyIAA,003Ps00000frkslIAA,2960,156
Deacon,True,,2022-09-15,,Pastoral Assignment,True,Deacon,001Ps00000l54gXIAQ,003Ps00000frkIZIAY,2959,156
Pastor,False,,2022-09-01,,Pastoral Assignment,True,Pastor,001Ps00000l5CU0IAM,003Ps00000frkCBIAY,2958,156
"Academic Dean, Vice President of Academics",False,,,,Any All,True,"Academic Dean, Vice President of Academics",001Ps00000l5eDgIAI,003Ps00000frkoBIAQ,2957,156
Coordinator of Liturgy and Music,False,,,,Any All,True,Coordinator of Liturgy and Music,001Ps00000l5eDgIAI,003Ps00000frkoAIAQ,2956,156
"Pastoral Associate for Evangelization, Family and Youth",False,,2022-06-01,,Any All,True,"Pastoral Associate for Evangelization, Family and Youth",001Ps00000l54h0IAA,003Ps00000frk8DIAQ,2955,156
Pastoral Associate for Liturgy and Catechesis,False,,2022-07-01,,Any All,True,Pastoral Associate for Liturgy and Catechesis,001Ps00000l54h0IAA,003Ps00000frk8EIAQ,2954,156
Parochial Vicar,False,,1995-08-01,2004-06-30,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CU0IAM,003Ps00000frkiUIAQ,2953,156
Parochial Vicar,False,,1988-07-01,1991-06-30,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CVDIA2,003Ps00000frkiUIAQ,2952,156
Pastoral Year,True,,2022-08-01,2023-08-30,Any All,True,Pastoral Year,001Ps00000l54hJIAQ,003Ps00000frkZnIAI,2951,156
On Leave,True,,2022-06-14,2024-06-30,Any All,True,On Leave,001Ps00000l54fyIAA,003Ps00000frkOBIAY,2950,156
Parochial Vicar,False,,2022-08-01,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CU0IAM,003Ps00000frkiUIAQ,2947,156
Consultant,False,,2022-08-08,,Any All,True,Consultant,001Ps00000l54gMIAQ,003Ps00000frksjIAA,2945,156
Liturgy Coordinator,True,,2007-11-03,,Any All,True,Liturgy Coordinator,001Ps00000l5CUsIAM,003Ps00000frkO0IAI,2942,156
Seminarian,True,,2022-08-01,,Any All,True,Seminarian,001Ps00000l54fzIAA,003Ps00000frkt7IAA,2941,156
Coordinator — Young Adult and Campus Evangelization,False,,2022-07-11,2024-06-28,Any All,True,Coordinator — Young Adult and Campus Evangelization,001Ps00000l54frIAA,003Ps00000frllXIAQ,2940,156
Parochial Vicar,True,,2022-09-01,2025-02-28,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54h2IAA,003Ps00000frjtEIAQ,2939,156
Pastor,True,,2022-08-01,,Pastoral Assignment,True,Pastor,001Ps00000l54h2IAA,003Ps00000frjnyIAA,2938,156
Spanish Immersion,True,,2022-07-01,2022-09-30,Any All,True,Spanish Immersion,001Ps00000l54fzIAA,003Ps00000frkZnIAI,2937,156
Pastoral Year,True,,2022-08-01,2023-06-30,Any All,True,Pastoral Year,001Ps00000l5CUhIAM,003Ps00000frkD4IAI,2936,156
Parochial Vicar,True,,2022-07-01,2022-09-01,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54gXIAQ,003Ps00000frkslIAA,2935,156
Coordinator,False,,2022-08-01,2023-03-15,Any All,True,Coordinator,001Ps00000l54frIAA,003Ps00000frkflIAA,2934,156
Respect Life Coordinator,False,,2022-07-01,2022-10-31,Any All,True,Respect Life Coordinator,001Ps00000l54frIAA,003Ps00000frjpiIAA,2932,156
Parish Support Accountant,False,,2022-07-01,,Any All,True,Parish Support Accountant,001Ps00000l54frIAA,003Ps00000frjizIAA,2931,156
Parish Support Accountant,False,,2022-07-01,,Any All,True,Parish Support Accountant,001Ps00000l54frIAA,003Ps00000frjpUIAQ,2930,156
Tribunal Judge,False,,2022-07-01,,Any All,True,Tribunal Judge,001Ps00000l54frIAA,003Ps00000frjpdIAA,2929,156
Accountant,False,,2022-06-28,,Any All,True,Accountant,001Ps00000l54frIAA,003Ps00000frkOPIAY,2928,156
Sabbatical,False,,2022-07-01,2023-08-15,Any All,True,Sabbatical,001Ps00000l5eV3IAI,003Ps00000frkG7IAI,2927,156
Superior,False,,2022-07-31,,Any All,True,Superior,001Ps00000l5eUnIAI,003Ps00000frjvuIAA,2926,156
Chaplain,False,,2022-07-01,,Pastoral Assignment,True,Chaplain,001Ps00000l56hqIAA,003Ps00000frkOAIAY,2925,156
Chaplain,True,,2022-07-01,2025-06-13,Pastoral Assignment,True,Chaplain,001Ps00000l56hoIAA,003Ps00000frk7oIAA,2924,156
Assistant to the Office of Pastoral Ministries,True,,2022-08-15,2024-06-30,Any All,True,Assistant to the Office of Pastoral Ministries,001Ps00000l54frIAA,003Ps00000frll6IAA,2923,156
Ministry outside the Archdiocese,True,,2011-10-01,2022-06-30,Any All,True,Ministry outside the Archdiocese,001Ps00000l54fyIAA,003Ps00000frll6IAA,2922,156
On Leave,True,,2022-07-01,,Any All,True,On Leave,001Ps00000l54fyIAA,003Ps00000frjibIAA,2921,156
Director of the Dominican Rosary Center,False,,2022-07-01,,Any All,True,Director of the Dominican Rosary Center,001Ps00000l5eV0IAI,003Ps00000frjhCIAQ,2920,156
Teacher and Campus Ministry,False,,2022-07-31,,Any All,True,Teacher and Campus Ministry,001Ps00000l56hqIAA,003Ps00000frll0IAA,2918,156
Parochial Vicar,True,,2022-09-01,2024-06-30,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54gXIAQ,003Ps00000frkQxIAI,2916,156
Parochial Vicar,True,,2022-08-01,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54hCIAQ,003Ps00000frjl3IAA,2915,156
Parochial Vicar,True,,2022-07-01,2023-06-30,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54gcIAA,003Ps00000frllEIAQ,2914,156
Parochial Vicar,True,,2022-07-01,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CUcIAM,003Ps00000frlWQIAY,2913,156
Parochial Vicar,True,,2022-07-01,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54gbIAA,003Ps00000frlWQIAY,2912,156
Parochial Vicar,True,,2022-07-01,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54h0IAA,003Ps00000frlWQIAY,2911,156
Parochial Vicar,True,Full Time,2022-07-01,2023-06-30,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54grIAA,003Ps00000frko9IAA,2910,156
Parochial Vicar,True,,2022-07-01,2023-06-30,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CUiIAM,,2909,156
Parochial Vicar,True,,2022-07-01,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CTrIAM,,2908,156
Parochial Vicar,True,,2022-07-01,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CUeIAM,,2907,156
Parochial Vicar,True,,2022-07-01,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CV6IAM,,2906,156
Parochial Vicar,True,,2022-07-01,2024-06-30,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CUFIA2,003Ps00000frjqoIAA,2904,156
Parochial Vicar,True,,2022-07-01,2023-06-30,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CUrIAM,003Ps00000frkmlIAA,2903,156
Parochial Vicar,True,,2022-07-01,2023-06-30,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54gzIAA,003Ps00000frkmlIAA,2902,156
Parochial Vicar,True,,2022-07-01,2023-06-30,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54hGIAQ,003Ps00000frkmlIAA,2901,156
Parochial Vicar,False,,2022-06-24,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CU0IAM,003Ps00000frjiNIAQ,2900,156
On Leave,True,,2022-07-01,,Any All,True,On Leave,001Ps00000l54fyIAA,003Ps00000frkjGIAQ,2898,156
Pastor,True,,2022-07-01,,Pastoral Assignment,True,Pastor,001Ps00000l5CUcIAM,003Ps00000frjkUIAQ,2895,156
Pastor,True,,2022-07-01,,Pastoral Assignment,True,Pastor,001Ps00000l54gbIAA,003Ps00000frjkUIAQ,2894,156
Pastor,True,,2022-07-01,,Pastoral Assignment,True,Pastor,001Ps00000l54h0IAA,003Ps00000frjkUIAQ,2893,156
Pastor,True,,2022-07-01,,Pastoral Assignment,True,Pastor,001Ps00000l54gXIAQ,003Ps00000frkm9IAA,2892,156
Pastor,True,,2022-07-01,2023-06-30,Pastoral Assignment,True,Pastor,001Ps00000l54gcIAA,003Ps00000frllYIAQ,2890,156
Pastor,True,,2022-07-01,2022-11-20,Pastoral Assignment,True,Pastor,001Ps00000l54hPIAQ,003Ps00000frlinIAA,2889,156
Pastor,True,,2022-07-01,2022-11-20,Pastoral Assignment,True,Pastor,001Ps00000l54ggIAA,003Ps00000frlinIAA,2888,156
Pastor,True,,2022-07-01,,Pastoral Assignment,True,Pastor,001Ps00000l5CUDIA2,003Ps00000frjkZIAQ,2887,156
Pastor,True,,2022-07-01,,Pastoral Assignment,True,Pastor,001Ps00000l54gWIAQ,003Ps00000frkRGIAY,2886,156
Pastor,True,,2022-07-01,,Pastoral Assignment,True,Pastor,001Ps00000l5CUlIAM,003Ps00000frjz8IAA,2885,156
Pastor,True,,2022-07-01,2023-11-30,Pastoral Assignment,True,Pastor,001Ps00000l5CUWIA2,003Ps00000frkZyIAI,2883,156
Administrator,True,,2013-07-01,2014-06-30,Pastoral Assignment,True,Administrator,001Ps00000l5CUxIAM,003Ps00000frkZyIAI,2882,156
Administrator,True,,2022-07-01,,Pastoral Assignment,True,Administrator,001Ps00000l5CV5IAM,003Ps00000frlWzIAI,2881,156
Administrator,True,,2022-07-01,2023-06-30,Pastoral Assignment,True,Administrator,001Ps00000l54gmIAA,003Ps00000frkXaIAI,2880,156
Administrator,True,,2022-07-01,2023-06-30,Pastoral Assignment,True,Administrator,001Ps00000l5CVCIA2,003Ps00000frkXaIAI,2879,156
Administrator,True,,2022-07-01,2024-05-19,Pastoral Assignment,True,Administrator,001Ps00000l54gzIAA,003Ps00000frjtXIAQ,2878,156
Administrator,True,,2022-07-01,2024-05-19,Pastoral Assignment,True,Administrator,001Ps00000l5CUrIAM,003Ps00000frjtXIAQ,2877,156
Administrator,True,,2022-07-01,2024-05-19,Pastoral Assignment,True,Administrator,001Ps00000l54hGIAQ,003Ps00000frjtXIAQ,2876,156
Administrator,True,,2022-07-01,2024-06-30,Pastoral Assignment,True,Administrator,001Ps00000l54gfIAA,003Ps00000frjpBIAQ,2875,156
On Leave - Medical,True,,2021-10-21,2022-06-30,Any All,True,On Leave - Medical,001Ps00000l54fyIAA,003Ps00000frjpBIAQ,2874,156
Pastor,True,,2022-07-01,,Pastoral Assignment,True,Pastor,001Ps00000l5CUJIA2,003Ps00000frlWPIAY,2873,156
Pastor,True,,2022-07-01,,Pastoral Assignment,True,Pastor,001Ps00000l5CUgIAM,003Ps00000frjwgIAA,2872,156
Funeral Director,False,,,,Any All,True,Funeral Director,001Ps00000l54fsIAA,003Ps00000frjzoIAA,2871,156
Funeral Director’s Assistant,False,,,2023-01-01,Any All,True,Funeral Director’s Assistant,001Ps00000l54fsIAA,003Ps00000frjm1IAA,2870,156
Funeral Director and Cemetery Counselor,False,,,2024-01-01,Any All,True,Funeral Director and Cemetery Counselor,001Ps00000l54fsIAA,003Ps00000frkX9IAI,2869,156
Cemetery Counselor and Funeral Director Assistant,False,,,2023-01-01,Any All,True,Cemetery Counselor and Funeral Director Assistant,001Ps00000l54fsIAA,003Ps00000frjp6IAA,2868,156
Choir Director,False,,,,Any All,True,Choir Director,001Ps00000l5CVAIA2,003Ps00000frjt6IAA,2867,156
Music Coordinator,False,,,,Any All,True,Music Coordinator,001Ps00000l5CVAIA2,003Ps00000frjSFIAY,2866,156
Director of Religious Education,False,,,2023-01-01,Any All,True,Director of Religious Education,001Ps00000l5CV8IAM,003Ps00000frjsSIAQ,2865,156
Music Coordinator,False,,,,Any All,True,Music Coordinator,001Ps00000l5CV8IAM,003Ps00000frjXBIAY,2864,156
Videographer/Facebook,False,,,,Any All,True,Videographer/Facebook,001Ps00000l5CV8IAM,003Ps00000frkReIAI,2863,156
Bookkeeper,False,,,2023-01-01,Any All,True,Bookkeeper,001Ps00000l5CV8IAM,003Ps00000frkfZIAQ,2862,156
Life Kids Coordinator,False,,,2023-01-01,Any All,True,Life Kids Coordinator,001Ps00000l5CV4IAM,003Ps00000frldJIAQ,2861,156
Accounting Team,False,,,,Any All,True,Accounting Team,001Ps00000l5CV2IAM,003Ps00000frklkIAA,2860,156
Children's Faith Formation Director,False,,,,Any All,True,Children's Faith Formation Director,001Ps00000l5CUzIAM,003Ps00000frkaOIAQ,2859,156
Director of Religious Education,False,,,,Any All,True,Director of Religious Education,001Ps00000l5CUyIAM,003Ps00000frjh3IAA,2858,156
Front Office Coordinator,False,,,,Any All,True,Front Office Coordinator,001Ps00000l5CUwIAM,003Ps00000frkXeIAI,2857,156
Biliterate Front Office Coordinator,False,,,2023-01-01,Any All,True,Biliterate Front Office Coordinator,001Ps00000l5CUwIAM,003Ps00000frkf4IAA,2856,156
Biliterate Communications Specialist,False,,,,Any All,True,Biliterate Communications Specialist,001Ps00000l5CUwIAM,003Ps00000frldWIAQ,2855,156
Communications Coordinator/Community Outreach,False,,,,Any All,True,Communications Coordinator/Community Outreach,001Ps00000l5CUwIAM,003Ps00000frjpvIAA,2854,156
Music Director/Director of Religious Education,False,,,,Any All,True,Music Director/Director of Religious Education,001Ps00000l5CUwIAM,003Ps00000frjlAIAQ,2853,156
Biliterate Help Desk Coordinator,False,,,2024-12-19,Any All,True,Biliterate Help Desk Coordinator,001Ps00000l5CUwIAM,003Ps00000frkXYIAY,2852,156
Youth Ministry Coordinator,False,,,2023-01-01,Any All,True,Youth Ministry Coordinator,001Ps00000l5CUuIAM,003Ps00000frjwIIAQ,2851,156
Administrative Assistant,True,,,2022-07-29,Any All,True,Administrative Assistant,001Ps00000l5CUuIAM,003Ps00000frkt7IAA,2850,156
Facilities/Maintenance Manager,False,,,2023-01-01,Any All,True,Facilities/Maintenance Manager,001Ps00000l5CUsIAM,003Ps00000frk7bIAA,2849,156
Landscaping Maintenance/Hall Janitorial,False,,,,Any All,True,Landscaping Maintenance/Hall Janitorial,001Ps00000l5CUqIAM,003Ps00000frkaPIAQ,2848,156
Faith Formation,False,,,,Any All,True,Faith Formation,001Ps00000l5CUqIAM,003Ps00000frkjBIAQ,2847,156
Administrative Assistant,False,,,2023-01-01,Any All,True,Administrative Assistant,001Ps00000l5CUqIAM,003Ps00000frjITIAY,2846,156
Maintenance,False,,,,Any All,True,Maintenance,001Ps00000l5CUoIAM,003Ps00000frlYsIAI,2845,156
Maintenance,False,,,,Any All,True,Maintenance,001Ps00000l5CUoIAM,003Ps00000frk7xIAA,2844,156
Family Religious Education Coordinator,False,,,,Any All,True,Family Religious Education Coordinator,001Ps00000l5CUoIAM,003Ps00000frlYqIAI,2843,156
HR Generalist,False,,,2022-09-27,Any All,True,HR Generalist,001Ps00000l54frIAA,003Ps00000frk10IAA,2842,156
Administrator,True,,2022-07-01,,Pastoral Assignment,True,Administrator,001Ps00000l5CUBIA2,003Ps00000frlcZIAQ,2841,156
Administrator,True,Full Time,2022-07-01,2023-06-30,Pastoral Assignment,True,Administrator,001Ps00000l5CUbIAM,003Ps00000frjIhIAI,2840,156
Janitor,False,,,2023-01-01,Any All,True,Janitor,001Ps00000l5CUjIAM,003Ps00000frkfCIAQ,2839,156
Business Manager/Bookkeeper,False,,,,Any All,True,Business Manager/Bookkeeper,001Ps00000l5CUjIAM,003Ps00000frld2IAA,2838,156
Receptionist,False,,,2023-01-01,Any All,True,Receptionist,001Ps00000l5CUiIAM,003Ps00000frkgJIAQ,2837,156
Liturgy,False,,,2023-01-01,Any All,True,Liturgy,001Ps00000l5CUhIAM,003Ps00000frkrWIAQ,2836,156
Development,False,,,2024-12-29,Any All,True,Development,001Ps00000l5CUgIAM,003Ps00000frjSIIAY,2835,156
Secretary/Bookkeeper,False,,,2024-12-29,Any All,True,Secretary/Bookkeeper,001Ps00000l5CUgIAM,003Ps00000frlWSIAY,2834,156
Youth Minister,False,,,2023-01-01,Any All,True,Youth Minister,001Ps00000l5CV0IAM,003Ps00000frjzkIAA,2833,156
Youth Minister,False,,,2023-01-01,Any All,True,Youth Minister,001Ps00000l5CUdIAM,003Ps00000frjzkIAA,2832,156
Choir Leader,False,,,2023-01-01,Any All,True,Choir Leader,001Ps00000l5CUZIA2,003Ps00000frjn2IAA,2831,156
Maintenance/Custodian,False,,,2023-01-01,Any All,True,Maintenance/Custodian,001Ps00000l5CUVIA2,003Ps00000frjiyIAA,2830,156
Maintenance,False,,,2023-01-01,Any All,True,Maintenance,001Ps00000l5CUVIA2,003Ps00000frk7uIAA,2829,156
Music Director,False,,,,Any All,True,Music Director,001Ps00000l5CUVIA2,003Ps00000frjwkIAA,2828,156
Admin Assistant and Musician,False,,,,Any All,True,Admin Assistant and Musician,001Ps00000l5CURIA2,003Ps00000frkNtIAI,2827,156
Faith Formation Assistant,False,,,,Any All,True,Faith Formation Assistant,001Ps00000l5CURIA2,003Ps00000frjw7IAA,2826,156
Front Desk,False,,,,Any All,True,Front Desk,001Ps00000l5CUQIA2,003Ps00000frjsYIAQ,2825,156
Assistant to the Pastor,False,,,2023-01-01,Any All,True,Assistant to the Pastor,001Ps00000l5CUPIA2,003Ps00000frk0BIAQ,2824,156
Liturgy & Religious Education,False,,,2023-01-01,Any All,True,Liturgy & Religious Education,001Ps00000l5CUPIA2,003Ps00000frk0bIAA,2823,156
Youth Ministry,False,,,2023-01-01,Any All,True,Youth Ministry,001Ps00000l5CUOIA2,003Ps00000frkXoIAI,2822,156
Bookkeeper,False,,,2023-01-01,Any All,True,Bookkeeper,001Ps00000l5CUOIA2,003Ps00000frjmzIAA,2821,156
Coordinator of Sacred Music,False,,,2024-12-01,Any All,True,Coordinator of Sacred Music,001Ps00000l5CUNIA2,003Ps00000frjxtIAA,2820,156
Campus Minister,False,,,2023-01-01,Any All,True,Campus Minister,001Ps00000l5CUMIA2,003Ps00000frjX8IAI,2818,156
ARK and Theology Nights Director,False,,,2023-01-01,Any All,True,ARK and Theology Nights Director,001Ps00000l5CUMIA2,003Ps00000frlo7IAA,2817,156
Visiting Priest,True,,2022-05-01,2022-06-30,Any All,True,Visiting Priest,001Ps00000l54gqIAA,003Ps00000frkmlIAA,2816,156
Visiting Priest,True,,2022-05-01,2022-06-30,Any All,True,Visiting Priest,001Ps00000l54gtIAA,003Ps00000frkmlIAA,2815,156
Summer Assignment,True,,2022-05-01,2022-07-31,Any All,True,Summer Assignment,001Ps00000l5CUgIAM,003Ps00000frkQzIAI,2814,156
Summer Assignment,True,,2022-05-01,2022-07-31,Any All,True,Summer Assignment,001Ps00000l5CUQIA2,003Ps00000frkj2IAA,2813,156
Pastor,True,,2022-06-01,,Pastoral Assignment,True,Pastor,001Ps00000l54h4IAA,003Ps00000frldfIAA,2812,156
Event Manager,False,,,2023-01-01,Any All,True,Event Manager,001Ps00000l5CULIA2,003Ps00000frjzyIAA,2811,156
Bookkeeper,False,,,2023-01-01,Any All,True,Bookkeeper,001Ps00000l5CULIA2,003Ps00000frkNwIAI,2810,156
Director of Spiritual Ministries,False,,,,Any All,True,Director of Spiritual Ministries,001Ps00000l5CULIA2,003Ps00000frkakIAA,2809,156
Business Manager,False,,,2023-01-01,Any All,True,Business Manager,001Ps00000l5CULIA2,003Ps00000frlcwIAA,2808,156
Chaplain,False,,2022-06-01,2023-06-11,Pastoral Assignment,True,Chaplain,001Ps00000l5WQoIAM,003Ps00000frjkwIAA,2807,156
Director of Faith Formation and Youth Ministry,False,,,,Any All,True,Director of Faith Formation and Youth Ministry,001Ps00000l5CUJIA2,003Ps00000frkfzIAA,2806,156
Youth Minister,False,,,2023-01-01,Any All,True,Youth Minister,001Ps00000l5CUIIA2,003Ps00000frklUIAQ,2805,156
Youth Minister,False,,,2023-01-01,Any All,True,Youth Minister,001Ps00000l5CUIIA2,003Ps00000frjnTIAQ,2804,156
Choir Director,False,,,2024-06-17,Any All,True,Choir Director,001Ps00000l5CUIIA2,003Ps00000frkn9IAA,2803,156
Music Ministry Coordinator,False,,,,Any All,True,Music Ministry Coordinator,001Ps00000l5CUIIA2,003Ps00000frkNsIAI,2802,156
Parish Administrative Assistant,False,,,2023-01-01,Any All,True,Parish Administrative Assistant,001Ps00000l5CUHIA2,003Ps00000frkNpIAI,2801,156
Facilities Manager,False,,,,Any All,True,Facilities Manager,001Ps00000l5CUFIA2,003Ps00000frjOMIAY,2800,156
Liturgy Coordinator,False,,,2024-06-11,Any All,True,Liturgy Coordinator,001Ps00000l5CUFIA2,003Ps00000frkafIAA,2799,156
ECHO Coordinator,False,,,2023-01-01,Any All,True,ECHO Coordinator,001Ps00000l5CUCIA2,003Ps00000frjOFIAY,2798,156
Pastoral Associate,False,,,,Any All,True,Pastoral Associate,001Ps00000l5CUCIA2,003Ps00000frjl5IAA,2797,156
Bulletin Editor,False,,,,Any All,True,Bulletin Editor,001Ps00000l5CUBIA2,003Ps00000frkJAIAY,2796,156
Maintenance,False,,,2024-05-29,Any All,True,Maintenance,001Ps00000l5CUBIA2,003Ps00000frjhrIAA,2795,156
Coordinator of Liturgy,False,,,,Any All,True,Coordinator of Liturgy,001Ps00000l5CU8IAM,003Ps00000frjKCIAY,2794,156
Front Office Manager,False,,,2023-01-01,Any All,True,Front Office Manager,001Ps00000l5CU7IAM,003Ps00000frloNIAQ,2793,156
Coordinator of Mission and Outreach,False,,,2023-01-01,Any All,True,Coordinator of Mission and Outreach,001Ps00000l5CU7IAM,003Ps00000frlYJIAY,2792,156
Parish Accountant,False,,,,Any All,True,Parish Accountant,001Ps00000l5CU7IAM,003Ps00000frjoJIAQ,2791,156
Facilities Support (Volunteer),False,,,2023-01-01,Any All,True,Facilities Support (Volunteer),001Ps00000l5CU4IAM,003Ps00000frk02IAA,2790,156
Administrative Assistant,False,,,2023-01-01,Any All,True,Administrative Assistant,001Ps00000l5CU4IAM,003Ps00000frlcjIAA,2789,156
Bookkeeper,False,,,2023-01-01,Any All,True,Bookkeeper,001Ps00000l5CU0IAM,003Ps00000frkb3IAA,2788,156
Business Manager,False,,,2025-01-05,Any All,True,Business Manager,001Ps00000l5CU0IAM,003Ps00000frkb4IAA,2787,156
Director of Religious Education & Music Director,False,,,,Any All,True,Director of Religious Education & Music Director,001Ps00000l5CTzIAM,003Ps00000frlkwIAA,2784,156
Pastoral Associate,False,,,,Any All,True,Pastoral Associate,001Ps00000l5CTzIAM,003Ps00000frjrKIAQ,2783,156
Facilities Manager,False,,,,Any All,True,Facilities Manager,001Ps00000l5CTzIAM,003Ps00000frjwfIAA,2782,156
Bookkeeper,False,,,,Any All,True,Bookkeeper,001Ps00000l5CTyIAM,003Ps00000frjqvIAA,2781,156
Receptionist/Pastoral Assistant,False,,,2023-01-01,Any All,True,Receptionist/Pastoral Assistant,001Ps00000l5CTyIAM,003Ps00000frknnIAA,2780,156
Parochial Vicar,True,,2012-08-01,2015-09-01,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54h4IAA,003Ps00000frkYAIAY,2779,156
Provincial Treasurer,False,,2022-05-28,,Any All,True,Provincial Treasurer,001Ps00000l5eUrIAI,003Ps00000frkYAIAY,2778,156
Pastor,False,,2022-06-01,2023-06-11,Pastoral Assignment,True,Pastor,001Ps00000l5CVDIA2,003Ps00000frjkwIAA,2777,156
Events Coordinator,False,,,,Any All,True,Events Coordinator,001Ps00000l5CTwIAM,003Ps00000frkiZIAQ,2776,156
Maintenance Supervisor,False,,,2023-01-01,Any All,True,Maintenance Supervisor,001Ps00000l5CTwIAM,003Ps00000frldXIAQ,2775,156
Religious Education,False,,,2023-01-01,Any All,True,Religious Education,001Ps00000l5CTvIAM,003Ps00000frkskIAA,2774,156
Director of Finance,False,,,2023-01-01,Any All,True,Director of Finance,001Ps00000l5CTvIAM,003Ps00000frklnIAA,2773,156
Bookkeeper,False,,,2023-01-01,Any All,True,Bookkeeper,001Ps00000l54gVIAQ,003Ps00000frkfJIAQ,2772,156
Pastoral Assistant,False,,,2023-01-01,Any All,True,Pastoral Assistant,001Ps00000l54gVIAQ,003Ps00000frkRSIAY,2771,156
Maintenance,False,,,2023-01-01,Any All,True,Maintenance,001Ps00000l5CTuIAM,003Ps00000frjsiIAA,2770,156
Bookkeeper,False,,,,Any All,True,Bookkeeper,001Ps00000l5WNZIA2,003Ps00000frkbOIAQ,2769,156
Pianist,False,,,,Any All,True,Pianist,001Ps00000l5WNZIA2,003Ps00000frkamIAA,2768,156
Office Assistant — Bilingual,False,,,2024-05-29,Any All,True,Office Assistant — Bilingual,001Ps00000l5WNZIA2,003Ps00000frjvtIAA,2767,156
Clerical Assistant,False,,,,Any All,True,Clerical Assistant,001Ps00000l5WNZIA2,003Ps00000frjhnIAA,2766,156
Administrative Assistant,False,,,2023-01-01,Any All,True,Administrative Assistant,001Ps00000l5WNZIA2,003Ps00000frjsUIAQ,2765,156
Maintenance,False,,,,Any All,True,Maintenance,001Ps00000l54hQIAQ,003Ps00000frjWxIAI,2764,156
Front Office Administrator,False,,,2023-01-01,Any All,True,Front Office Administrator,001Ps00000l54hNIAQ,003Ps00000frjmLIAQ,2763,156
Calvary Cemetery Manager,False,,,,Any All,True,Calvary Cemetery Manager,001Ps00000l54hNIAQ,003Ps00000frkbDIAQ,2762,156
Custodian,False,,,2023-01-01,Any All,True,Custodian,001Ps00000l54hNIAQ,003Ps00000frklPIAQ,2761,156
Director of Youth Ministry,False,,,,Any All,True,Director of Youth Ministry,001Ps00000l54hNIAQ,003Ps00000frldcIAA,2760,156
Director of Sacred Music,False,,,,Any All,True,Director of Sacred Music,001Ps00000l54hJIAQ,003Ps00000frkG9IAI,2759,156
Financial Manager,False,,,,Any All,True,Financial Manager,001Ps00000l54hJIAQ,003Ps00000frkG6IAI,2758,156
Children’s Ministry,False,,,2023-01-01,Any All,True,Children’s Ministry,001Ps00000l54hGIAQ,003Ps00000frkFYIAY,2757,156
Parochial Vicar,True,,2022-07-01,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54h4IAA,003Ps00000frlY3IAI,2756,156
Director of Youth Ministry,False,,,,Any All,True,Director of Youth Ministry,001Ps00000l54hCIAQ,003Ps00000frkrvIAA,2755,156
Choral Director,False,,,,Any All,True,Choral Director,001Ps00000l54hCIAQ,003Ps00000frk0VIAQ,2754,156
Project/Facility Coordinator,False,,,,Any All,True,Project/Facility Coordinator,001Ps00000l54hBIAQ,003Ps00000frkFfIAI,2753,156
Children’s Faith Formation Coordinator,False,,,,Any All,True,Children’s Faith Formation Coordinator,001Ps00000l54hBIAQ,003Ps00000frk7SIAQ,2752,156
Bulletin,False,,,,Any All,True,Bulletin,001Ps00000l54h6IAA,003Ps00000frjpFIAQ,2751,156
Institute of Priestly Formation,False,,2022-05-29,2022-07-30,Any All,True,Institute of Priestly Formation,001Ps00000l54fzIAA,003Ps00000frjkmIAA,2750,156
Spanish Immersion,True,,2022-05-01,2022-07-31,Any All,True,Spanish Immersion,001Ps00000l54fzIAA,003Ps00000frklfIAA,2749,156
