,Name,Formal_Name__c,RecordTypeId,mbfc__Church_Type__c,mbfc__Deanery__c,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Fax,mbfc__Email__c,Website,mbfc__Mass_Times__c,mbfc__Abbreviation__c,mbfc__Religious_Suffix__c,mbfc__Type_Members__c,Description,Archdiocese_Assigns_Clergy__c,mbfc__Non_Latin__c,Disabled_Access__c,Locator_Description__c,Parent_Parish__c,mbfc__Date_Established__c,County__c,Sanctuary_Capacity__c,Religious_Secular_Order__c,Pontifical_or_Diocesan_Order__c,Archdiocesan_School_Code__c,Grades_Provided__c,Job_Id__c,Archdpdx_Migration_Id__c,mbfc__Organization_Type__c,ParentId
67,"Sacred Heart, Gervais",Sacred Heart,012Ps000002fU2bIAE,Parish,0017x0000107knKAAQ,"Sacred Heart Parish
PO Box 236",Gervais,OR,97026,,503-792-4231,,secretary@shstl.org,https://www.shstl.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 4:00 pm, 6:00 pm (Español)<br>Sunday 9:30 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Monday 8:00 (only during Advent)<br>Tuesday 8:00 am<br>Wednesday 8:00 am, 6:15 pm (Español)<br>Thursday 6:15 pm<br>Friday 8:00 am<br>Saturday 8:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Wednesday 5:00 pm<br>Saturday 3:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,605 7th St,,1847-01-01,Marion,400.0,,,,,152,Parishes_38,,0017x0000107vUEAAY
68,"Holy Family Mission, Glendale",Holy Family,012Ps000002fU2bIAE,Parish,0017x0000107knTAAQ,"Holy Family Mission
PO Box 810",Myrtle Creek,OR,97457,,541-863-3271,541-863-6759,allsoulsparish@gmail.com,https://sites.google.com/site/allsoulsoregon/home,<p><strong>Weekend Mass</strong></p><p>Sunday 8:30 am</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,243 Marshall St,0017x00001080YXAAY,,Douglas,0.0,,,,,152,Parishes_39,,0017x0000107vUEAAY
69,"St. Charles Borromeo Mission, Gold Beach",St. Charles Borromeo,012Ps000002fU2bIAE,Parish,0017x0000107knQAAQ,"St. Charles Borromeo Mission
PO Box 529",Gold Beach,OR,97444,,541-247-2453,,parishoffice@sosstc.org,https://www.staroftheseastcharles.org/,<p><strong>Weekend Mass</strong></p><p>Sunday 11:00 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Thursday 4:30 pm</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Thursday 4:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,94323 Gauntlett St,0017x00001080XhAAI,,Curry,0.0,,,,,152,Parishes_40,,0017x0000107vUEAAY
70,"St. Michael, Grand Ronde",St. Michael,012Ps000002fU2bIAE,Parish,0017x0000107knWAAQ,"St. Michael Parish
1145 NE 1st St",McMinnville,OR,97128,,503-472-5232,,churchoffice@stjamesmac.com,https://stjamesmac.com/stmichael/,<p><strong>Weekend Mass</strong></p><p>Sunday 11:00 am</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,48520 Hebo Rd,,1860-01-01,Yamhill,144.0,,,,,152,Parishes_41,,0017x0000107vUEAAY
71,"St. Anne, Grants Pass",Ste. Anne de Beaupré,012Ps000002fU2bIAE,Parish,0017x0000107knTAAQ,"St. Anne Parish
1131 NE 10th St",Grants Pass,OR,97526,,541-476-2240,541-476-2194,office@stannegp.com,https://www.stannegp.com/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm, Sabado 7:00 pm (Español)<br>Sunday 8:00 am, 11:00 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Mon–Fri 8:30 am (Wed with school)<br>First Saturdays 8:30 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:30–4:30 pm<br>or by appointment</p><p><br></p><p><strong>Adoration</strong></p><p>Monday–Friday 9:30 am–noon<br>(adoration chapel open 24 hrs with keycode)</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1896-01-01,Josephine,0.0,,,,,152,Parishes_42,,0017x0000107vUEAAY
72,"St. Anne, Gresham",St. Anne,012Ps000002fU2bIAE,Parish,0017x0000107knJAAQ,"St. Anne Parish
1015 SE 182nd Ave",Portland,OR,97233,,503-665-4935,503-661-2116,stannegresham@archdpdx.org,https://www.stannechurchingresham.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm, 7:00 pm (Español)<br>Sunday 8:00 am (Español), 10:00 am, Noon (Español), 5:00 pm (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Wednesday–Friday 9:00 am<br>Friday 9:00 am, 7:00 pm (Español)</p><p><br></p><p><strong>Reconciliation (Confession)/Confesiones</strong></p><p>Saturday/Sábados 3:30–4:30 pm</p><p><br></p><p><strong>Adoration</strong></p><p>Friday 5:00 pm–6:00 pm<br>First Saturday 10:00 pm–7:30 am Sunday</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1957-01-01,Multnomah,425.0,,,,,152,Parishes_43,,0017x0000107vUEAAY
73,"St. Henry, Gresham",St. Henry,012Ps000002fU2bIAE,Parish,0017x0000107knJAAQ,"St. Henry Parish
346 NW 1st St",Gresham,OR,97030,,503-665-9129,503-665-8238,sthenry_gresham@archdpdx.org,https://www.sthenrygresham.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 8:30 am, 11:00 am, 1:30 pm (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Mon-Sat 8:00 am<br>Thurs 6:30 pm (Español)</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Thursday 7:15 pm (with adoration)<br>Saturday 3:00 pm<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1912-01-01,Multnomah,550.0,,,,,152,Parishes_44,,0017x0000107vUEAAY
74,"St. Francis de Sales Mission, Hammond",St. Francis de Sales,012Ps000002fU2bIAE,Parish,0017x0000107knNAAQ,"St. Francis de Sales Mission
1465 Grand Ave",Astoria,OR,97103,,503-325-3671,503-325-7983,amyr@stmaryastoria.com,http://www.stmaryastoria.com/,<p><strong>Weekend Mass</strong></p><p>Saturday Vigil 4:00 pm</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Thursday 3:00 pm</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:30 pm<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,867 Fifth Ave,0017x00001080XdAAI,,Clatsop,0.0,,,,,152,Parishes_45,,0017x0000107vUEAAY
75,"St. Matthew, Hillsboro",St. Matthew,012Ps000002fU2bIAE,Parish,0017x0000107knUAAQ,"St. Matthew Parish
475 SE 3rd Ave",Hillsboro,OR,97123,,503-648-1998,503-648-4489,parishoffice@stmatthewhillsboro.org,https://www.stmatthewhillsboro.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:30 pm<br>Sunday 6:30 am (Español), 8:30 am, 10:00 am, 11:30 am (Español), 5:30 pm (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Mon and Wed-Sat 8:15 am<br>Mon and Wed–Fri 6:00 pm</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Fri 8:45–9:30 am<br>Sat 4:30–5:30 pm</p><p><br></p><p><strong>Adoration</strong></p><p>Daily 6:00 am–Midnight in the chapel</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1902-01-01,Washington,700.0,,,,,152,Parishes_46,,0017x0000107vUEAAY
76,"St. Agnes Mission, Hubbard",St. Agnes,012Ps000002fU2bIAE,Parish,0017x0000107knKAAQ,"St. Agnes Mission
417 Harrison St",Woodburn,OR,97071,,503-703-5044,503-981-5012,stlukech@wbcable.net,https://www.stlukewoodburn.net/saint-agnes-mission,<p><strong>Weekend Mass</strong></p><p>1st and 3rd Sunday 9:00 am</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,3052 D St,0017x0000107tLYAAY,,Marion,0.0,,,,,152,Parishes_47,,0017x0000107vUEAAY
77,"St. Patrick, Independence",St. Patrick,012Ps000002fU2bIAE,Parish,0017x0000107knFAAQ,"St. Patrick Parish
1275 E St",Independence,OR,97351,,503-838-1242,503-838-3856,stpatrick97351@gmail.com,https://www.stpatrickindependence.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm, 7:00 pm (Español)<br>Sunday 9:00 am, Noon (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday 6:00 pm (Español)<br>Wednesday 6:00 pm<br>Thursday 6:00 pm (Español)<br>Friday 10:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:30 pm</p><p><br></p><p><strong>Adoration</strong></p><p>Wednesday 5:00–6:00 pm<br>Fri 3:00–5:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1908-01-01,Polk,670.0,,,,,152,Parishes_48,,0017x0000107vUEAAY
78,"St. Joseph Mission, Jacksonville",St. Joseph,012Ps000002fU2bIAE,Parish,0017x0000107knTAAQ,"St. Joseph Mission
517 W 10th",Medford,OR,97501,,541-779-4661,541-774-9474,,,<p><strong>Weekend Mass</strong></p><p>No Masses at this time.</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,280 N 4th St,0017x00001080YQAAY,1858-01-01,Jackson,0.0,,,,,152,Parishes_49,,0017x0000107vUEAAY
79,"St. Thomas Mission, Jefferson",St. Thomas,012Ps000002fU2bIAE,Parish,0017x0000107knFAAQ,"St. Thomas Mission
PO Box 928",Jefferson,OR,97352,,541-327-2343,,,https://www.facebook.com/stbernardscio/,<p><strong>Weekend Mass</strong></p><p>Second and Fourth Sundays 8:30 am</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,647 N 3rd St,0017x0000107tL9AAI,,Marion,0.0,,,,,152,Parishes_50,,0017x0000107vUEAAY
80,"Our Lady of Lourdes, Jordan",Our Lady of Lourdes,012Ps000002fU2bIAE,Parish,0017x0000107knPAAQ,"Our Lady of Lourdes Parish
39043 Jordan Road",Scio,OR,97374,,503-394-2437,503-394-7045,olol@smt-net.com,https://lourdesjordan.com/,<p><strong>Weekend Mass</strong></p><p>Sunday 9:00 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday–Thursday 5:30 pm<br>Friday 7:30 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Sunday 8:30–8:50 pm<br>Wednesday 6:00–6:30 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,Jordan Rd and Camp Morrison Dr,,1885-01-01,Linn,250.0,,,,,152,Parishes_51,,0017x0000107vUEAAY
81,"St. Helen, Junction City",St. Helen,012Ps000002fU2bIAE,Parish,0017x0000107knLAAQ,"St. Helen Parish
1350 W 6th Ave",Junction City,OR,97448,,541-998-8053,541-998-9474,parishesofsthelenandstrose@gmail.com,https://www.strosesthelen.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 10:30 am, 12:30 pm (Español)</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 4:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1959-01-01,Lane,240.0,,,,,152,Parishes_52,,0017x0000107vUEAAY
82,"St. Edward, Keizer",St. Edward,012Ps000002fU2bIAE,Parish,0017x0000107knMAAQ,"St. Edward Parish
5303 River Rd N",Keizer,OR,97303,,503-393-5323,503-463-5439,frgary@sainteds.com,https://www.sainteds.com/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:30 pm<br>Sunday 8:15 am, 10:30 am, 12:30 pm (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday, Wednesday 6:00 pm<br>Thursday, Friday 12:05 pm</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 4:00–5:00 pm<br>Tuesday, Wednesday 6:30 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1968-01-01,Marion,750.0,,,,,152,Parishes_53,,0017x0000107vUEAAY
83,"Our Lady of the Lake, Lake Oswego",Our Lady of the Lake,012Ps000002fU2bIAE,Parish,0017x0000107knVAAQ,"Our Lady of the Lake Parish
650 A Ave",Lake Oswego,OR,97034,,503-636-7687,503-463-5439,office@ollparish.com,https://www.ollparish.com/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 7:30 am, 9:00 am (ASL Interpreted), 11:15 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Monday, Friday, Saturday 8:30 am<br>Tuesday 8:30 am, 6:00 pm<br>Wed, Thu 6:30 am, 8:30 pm<br></p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 9:15–10:15 am<br>or by appointment</p><p><br></p><p><strong>Adoration</strong></p><p>First Friday, 9:30 am–8:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,A Ave and 8th St,,1890-01-01,Clackamas,600.0,,,,,152,Parishes_54,,0017x0000107vUEAAY
84,"St. Edward, Lebanon",St. Edward,012Ps000002fU2bIAE,Parish,0017x0000107knFAAQ,"St. Edward Parish
100 S Main St",Lebanon,OR,97355,,541-258-5333,541-258-2511,stedwardslebanon@comcast.net,https://stedwardlebanon.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:15 pm<br>Sunday 10:30 am, 1:00 pm (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Wednesday 8:00 am<br>Thursday 9:00 am<br>Friday Noon</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:30–5:00 pm<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1903-01-01,Linn,389.0,,,,,152,Parishes_55,,0017x0000107vUEAAY
85,"St. Augustine, Lincoln City",St. Augustine,012Ps000002fU2bIAE,Parish,0017x0000107knMAAQ,"St. Augustine Parish
1151 NW Inlet Ave",Lincoln City,OR,97367,,541-994-2216,541-994-6554,staugustinechurch@lincolncitycoast.com,https://www.staugustinelincolncity.com/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:30 pm<br>Sunday 8:30 am, 11:00 am, 7:00 pm (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tue-Fri Noon</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 4:30–5:00 pm<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,1139 NW Hwy 101,,1925-01-01,Lincoln,420.0,,,,,152,Parishes_56,,0017x0000107vUEAAY
86,"St. Patrick Mission, Lyons",St. Patrick,012Ps000002fU2bIAE,Parish,0017x0000107knPAAQ,"St. Patrick Mission
39043 Jordan Road",Scio,OR,97374,,503-394-2437,503-394-7045,pastor@immacstayton.org,https://www.immacstayton.org/lyons-st-patrick-mission,<p><strong>Weekend Mass</strong></p><p>Second and Fourth Saturday 5:00 pm</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday 8:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>By appointment</p><p><br></p><p><strong>Adoration</strong></p><p>Chaplet of Divine Mercy and Rosary Tuesday 7:30 am</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,7th St and Ash St,0017x00001080YIAAY,,Linn,0.0,,,,,152,Parishes_57,,0017x0000107vUEAAY
87,"St. James, McMinnville",St. James,012Ps000002fU2bIAE,Parish,0017x0000107knWAAQ,"St. James Parish
1145 NE 1st St",McMinnville,OR,97128,,503-472-5232,503-472-4414,stjamesmacoffice@gmail.com,https://stjamesmac.com/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm, 7:00 pm (Español)<br>Sunday 9:00 am, Noon (Español)<br></p><p><br></p><p><strong>Weekday Mass</strong></p><p>Wed-Fri 8:30 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:30–4:30 pm<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1871-01-01,Yamhill,700.0,,,,,152,Parishes_58,,0017x0000107vUEAAY
88,"Sacred Heart, Medford",Sacred Heart,012Ps000002fU2bIAE,Parish,0017x0000107knTAAQ,"Sacred Heart Parish
517 W 10th St",Medford,OR,97501,,541-779-4661,541-774-9474,bwoodburn@archdpdx.org,https://sacredheartmedford.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:30 pm, 7:00 pm (Español)<br>Sunday 8:30 am, 10:15 am (Español), Noon, 1:30 pm (Español), 3:30 pm (Latin)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Mon-Sat 8:30 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:30–5:15 pm<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,W 10th St and S Oakdale Ave,,1890-01-01,Jackson,450.0,,,,,152,Parishes_59,,0017x0000107vUEAAY
89,"St. Catherine of Siena Mission, Mill City",St. Catherine of Siena,012Ps000002fU2bIAE,Parish,0017x0000107knPAAQ,"St. Catherine of Siena Mission
1077 N 6th Ave",Stayton,OR,97383,,503-769-2656,503-769-5621,pastor@immacstayton.org,https://www.immacstayton.org/mill-city---st-catherine-of-siena--our-mission,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm on 1st, 3rd, 5th Saturdays<br>Alternate Saturdays are celebrated at St. Patrick Mission, Lyons.</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Thursday Noon</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,S 1st Ave and SE Ivy St,0017x0000107tLLAAY,,Linn,0.0,,,,,152,Parishes_60,,0017x0000107vUEAAY
90,"Christ the King, Milwaukie",Christ the King,012Ps000002fU2bIAE,Parish,0017x0000107knRAAQ,"Christ the King Parish
7414 SE Michael Dr",Milwaukie,OR,97222,,503-659-1475,503-659-6138,office@ctk.cc,https://www.ctk.cc/,"<p><strong>Weekend Mass</strong></p><p>Sat 5:30 pm<br>Sun 8:30 am, 11:00</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Mon 8:30 am<br>Tue 6:00 pm<br>Wed–Sat 8:30 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Tuesday 5:00–5:45 pm<br>Saturday 3:30–5:00 pm<br>First Saturday 9:00–10:00 am<br>or by appointment</p><p><br></p><p><strong>Adoration</strong></p><p>Thursday 9:00 am–6:00 pm<br>First Saturday 9:00 am–10:00 am</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,11709 SE Fuller Rd,,1959-01-01,Clackamas,750.0,,,,,152,Parishes_61,,0017x0000107vUEAAY
91,"St. John the Baptist, Milwaukie",St. John the Baptist,012Ps000002fU2bIAE,Parish,0017x0000107knRAAQ,"St. John the Baptist Parish
10955 SE 25th Ave",Milwaukie,OR,97222,,503-654-5449,503-653-9567,parishoffice@sjbcatholicchurch.org,http://www.sjbcatholicchurch.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 4:00 pm<br>Sunday 7:30 am, 9:30 am, Noon (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Monday-Saturday 8:00 am<br>Thursday 7:00 pm (Español)<br>First Friday 7:00 pm (Español)</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Thursday (during Advent) 6:00–7:00 pm<br>Saturday 2:30–3:30 pm<br>First Saturday 9:30–10:30 am<br>or by appointment</p><p><br></p><p><strong>Adoration</strong></p><p>Sunday 1:30–5:00 pm<br>First Friday 8:30 am–6:30 pm<br>First Saturday 9:30–10:30 am<br>Perpetual in chapel (call parish office for door code)</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1864-01-01,Clackamas,900.0,,,,,152,Parishes_62,,0017x0000107vUEAAY
92,"St. James, Molalla",St. James,012Ps000002fU2bIAE,Parish,0017x0000107knKAAQ,"St. James Parish
301 Frances St",Molalla,OR,97038,,503-829-2080,503-829-2806,stjamesmolalla957@gmail.com,http://www.stjamesmolalla.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:30 pm, 7:00 pm (Español)<br>Sunday 8:00 am, 10:00 am, Noon (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Mon-Fri 9:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 4:00–5:00 pm</p><p><br></p><p><strong>Adoration</strong></p><p>Thursday 9:30 am–8:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1938-01-01,Clackamas,300.0,,,,,152,Parishes_63,,0017x0000107vUEAAY
93,"St. Rose of Lima, Monroe",St. Rose of Lima,012Ps000002fU2bIAE,Parish,0017x0000107knLAAQ,"St. Rose of Lima Parish
1350 W 6th Ave",Junction City,OR,97448,,541-998-8053,541-998-9474,parishesofsthelenandstrose@gmail.com,https://www.strosesthelen.org/,<p><strong>Weekend Mass</strong></p><p>8:30 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Wednesday 5:30 pm</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Wednesday 5:00 pm</p><p><br></p><p><strong>Adoration</strong></p><p>Wednesday 4:30 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,470 S 5th St,,1877-01-01,Benton,186.0,,,,,152,Parishes_64,,0017x0000107vUEAAY
94,"St. Mary, Mount Angel",St. Mary,012Ps000002fU2bIAE,Parish,0017x0000107knKAAQ,"St. Mary Parish
575 E College St",Mount Angel,OR,97362,,503-845-2296,503-845-2297,office@stmarymtangel.org,https://www.stmarymtangel.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:30 pm<br>Sunday 7:30 am, 10:00 am, 12:30 pm (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Monday-Friday 7:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Sunday 11:30 am–12:20 pm<br>Saturday 3:30–5:00 pm<br>or by appointment</p><p><br></p><p><strong>Adoration</strong></p><p>Monday–Wednesday, Friday 7:30 am–4:00 pm<br>Thursday 9:00 am–9:00 pm<br>all in adoration chapel, ask at office for code</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1881-01-01,Marion,500.0,,,,,152,Parishes_65,,0017x0000107vUEAAY
95,"All Souls, Myrtle Creek",All Souls,012Ps000002fU2bIAE,Parish,0017x0000107knTAAQ,"All Souls Parish
PO Box 810",Myrtle Creek,OR,97457,,541-863-3271,541-863-6759,allsoulsparish@gmail.com,https://sites.google.com/site/allsoulsoregon/home,"<p><strong>Weekend Mass</strong></p><p>Sat 4:00 pm<br>Sun 10:30 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Thu, Fri 10:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,1242 NE Spruce Ave,,1952-01-01,Douglas,120.0,,,,,152,Parishes_66,,0017x0000107vUEAAY
